Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Emanuel Wilson,SEA,RB77,43,207.1,1.4,7.9,57.1,0.4,0.4,44.6
Josh Oliver,MIN,TE46,0,0,0,17,179.5,1.5,0,44.1
Ben Sinnott,WAS,TE47,0,0,0,17.7,174.2,1.5,0,43.9
Parker Washington,JAC,WR105,0,5.7,0,17.6,186.9,1.2,0.1,43.6
Elijah Mitchell,NE,RB78,59.6,200.8,1.6,7.2,40.7,0.4,0.1,43.1
Demarcus Robinson,SF,WR106,0,0.8,0,12.7,194.1,1.8,0,43
Sean Tucker,TB,RB79,45.2,232.1,1.4,5.3,41,0.4,0.7,41.6
Brock Wright,DET,TE48,0,0,0,15,135.2,2.2,0,41.5
Jahan Dotson,ATL,WR107,0,1.7,0,15,180.6,1.3,0,41.1
Cade Stover,HOU,TE49,0,0,0,16.9,161,1.2,0,40.4
Julius Chestnut,TEN,RB80,36.7,144.3,0.8,10.2,74.4,0.3,0,38.9
Kalif Raymond,CHI,WR108,0,4,0,14.5,182.3,1.1,0.6,38.8
Olamide Zaccheaus,ATL,WR109,1.1,6,0,15,165.4,1.1,0.1,38.5
Julian Hill,NE,TE50,0,0,0,17.2,153.9,1.1,0.4,38.3
DJ Giddens,IND,RB81,23.7,163.2,1.3,7.6,56.1,0.1,0,37.9
Elijah Moore,PHI,WR110,0,1.3,0,14.4,158.9,1.2,0,37.8
Xavier Hutchinson,HOU,WR111,0,0,0,14.5,172.1,1,0.1,37.6
Dameon Pierce,PHI,RB82,38.1,183.3,1.2,7.6,50.7,0.2,0.8,37.5
Dareke Young,LV,WR112,0,0,0,15.4,171.4,0.9,0.5,37
Adam Trautman,DEN,TE51,0,0,0,13.5,146.8,1.5,0,36.9
Kyle Juszczyk,SF,RB83,5.9,24.2,0.3,14.4,136.8,0.8,0.4,36.8
Jalen Royals,KC,WR113,0,2.5,0,13.8,155.4,1.2,0,36.5
Tyler Goodson,ATL,RB84,52.6,180.9,1.1,5.7,37.8,0.4,0,36.2
Jeremy Ruckert,NYJ,TE52,0,0,0,16.2,139.3,0.9,0,35.6
Luke Schoonmaker,DAL,TE53,0,0,0,14.9,132.2,1.2,0,35
Mack Hollins,NE,WR114,0,1.7,0,12.3,153,1.1,0,34.4
Arian Smith,NYJ,WR115,0,5.5,0,13.4,161,0.7,0,34.3
Jalin Hyatt,NYG,WR116,0,0,0,12,159.5,0.9,0,33
Charlie Woerner,ATL,TE54,0,0,0,13.7,131.5,1,0,33
Luke McCaffrey,WAS,WR117,0,1,0,13.2,136.1,1,0.1,32.9
Hassan Haskins,LAC,RB85,28.3,117.6,0.9,7.7,58.8,0.5,0.3,32.8
Chris Brooks,GB,RB86,27.4,136.6,0.9,7.3,48.5,0.1,0,31.4
Payne Durham,TB,TE55,0,0,0,11.9,116.6,1.3,0,31.2
Grant Calcaterra,PHI,TE56,0,0,0,12.3,135.8,0.9,0,30.9
Brashard Smith,KC,RB87,14.4,91.4,0.6,8.5,63.1,0.5,0,30.2
AJ Dillon,CAR,RB88,37,154.1,1.3,3.5,28.2,0.1,0,30
Johnny Mundt,PHI,TE57,0,0,0,13.4,115.2,0.8,0,29.9
Isaiah Davis,NYJ,RB89,30.8,152.1,0.9,4.9,35.6,0.1,0,29.4
Elijah Higgins,ARI,TE58,0,0,0,11.4,110.4,1.1,0,28.8
Darnell Washington,PIT,TE59,0,0,0,12.2,122.9,0.7,0,28.8
Daniel Bellinger,TEN,TE60,0,0,0,12.9,122.7,0.6,0,28.6
Tai Felton,MIN,WR118,0,1.7,0,10.1,118.2,1,0,27.9
Blake Whiteheart,CLE,TE61,0,0,0,11.7,116.3,0.7,0,27.7
Emari Demercado,KC,RB90,18.7,106.3,0.4,8.1,53.9,0.1,0,27.2
Zavier Scott,MIN,RB91,32,153,1,3,29,0,0,27.2
Colby Parkinson,LAR,TE62,0,0,0,10.6,106.9,0.9,0,26.4
Kimani Vidal,LAC,RB92,39.6,95.1,0.5,6.4,48.8,0.4,0,26.1
Connor Heyward,LV,TE63,0,0,0,10.1,87.1,1.2,0,25.8
Jake Briningstool,KC,TE64,0,0,0,10,94,1,0,25.4
Kalel Mullings,TEN,RB93,28.5,118.9,0.9,4.2,32.3,0.1,0,25.1
Tyquan Thornton,KC,WR119,0,0,0,8.1,116.5,0.9,0,24.9
Savion Williams,GB,WR120,4.5,19.5,0.1,7.6,89.3,0.8,0,23.6
Drew Sample,CIN,TE65,0,0,0,10.3,82.6,0.8,0,23.1
Ty Chandler,NO,RB94,19.3,97.3,0.7,4.9,34.4,0.1,0,22.7
Lucas Krull,DEN,TE66,0,0,0,9.9,90.3,0.6,0,22.6
Stone Smartt,PHI,TE67,0,0,0,8.9,96.3,0.8,0.3,22.5
Drew Ogletree,IND,TE68,0,0,0,7.5,96.9,0.8,0,22.2
Jimmy Horn Jr.,CAR,WR121,0,0,0,8.2,98.1,0.6,0,21.8
Tylan Wallace,CLE,WR122,0,1.7,0,6.8,87.5,0.9,0,20.9
Jeremy McNichols,WAS,RB95,21.9,93,1.1,2.7,15.3,0,0,20.4
Casey Washington,ATL,WR123,0,0,0,7.4,89.8,0.7,0,20.4
Jaylin Lane,WAS,WR124,2.2,13.5,0.1,6.9,79.6,0.5,0.1,20.2
Teagan Quitoriano,ARI,TE69,0,0,0,6.4,99.5,0.6,0,19.8
Tanner Conner,NYG,TE70,0,0,0,8.6,69.1,0.7,0,19.4
Ryan Flournoy,DAL,WR125,0,0,0,7.7,83.6,0.6,0.1,19.3
Brevyn Spann-Ford,DAL,TE71,0,0,0,7.8,74.6,0.6,0,19
Devin Culp,TB,TE72,0,0,0,7.2,77.2,0.7,0,18.9
Moliki Matavao,NO,TE73,0,0,0,7.6,74.5,0.6,0,18.8
George Holani,SEA,RB96,8.8,98,0.6,3,21.9,0,0,18.8
John Bates,WAS,TE74,0,0,0,7.8,74.3,0.5,0,18.4
Hunter Long,JAC,TE75,0,0,0,8.4,75.9,0.4,0,18.2
Bo Melton,GB,WR126,0,0,0,6.6,78.1,0.6,0,17.8
Alec Ingold,LAC,RB97,9,21.8,0.6,6.1,44.1,0.4,0.4,17.8
KeAndre Lambert-Smith,LAC,WR127,0,3,0,5.9,77.6,0.6,0,17.3
Xavier Gipson,NYG,WR128,0,3.7,0,7.4,81.3,0.4,0.5,17.3
Nate Adkins,DEN,TE76,0,0,0,6,46,1,0,16.6
Devontez Walker,BAL,WR129,0,1.7,0,5.2,71,0.7,0,16.5
LeQuint Allen Jr.,JAC,RB98,17,60.6,0.7,3.5,25.4,0.1,0,16.5
Trey Palmer,NO,WR130,0,2,0,6.6,76.9,0.3,0,16.4
Irvin Charles,NYJ,WR131,0,0,0,6.4,68.3,0.5,0,15.9
Eric Saubert,SEA,TE77,0,0,0,6.7,59.8,0.5,0,15.4
Tip Reiman,ARI,TE78,0,0,0,6.6,60.3,0.4,0,15.1
