Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Colby Parkinson,LAR,TE62,0,0,0,10.6,106.9,0.9,0,21.1
Tyquan Thornton,KC,WR119,0,0,0,8.1,116.5,0.9,0,20.8
Connor Heyward,LV,TE63,0,0,0,10.1,87.1,1.2,0,20.7
Jake Briningstool,KC,TE64,0,0,0,10,94,1,0,20.4
Ty Chandler,NO,RB94,19.3,97.3,0.7,4.9,34.4,0.1,0,20.3
Savion Williams,GB,WR120,4.5,19.5,0.1,7.6,89.3,0.8,0,19.8
Jeremy McNichols,WAS,RB95,21.9,93,1.1,2.7,15.3,0,0,19.1
Drew Ogletree,IND,TE65,0,0,0,7.5,96.9,0.8,0,18.4
Stone Smartt,PHI,TE66,0,0,0,8.9,96.3,0.8,0.3,18
Drew Sample,CIN,TE67,0,0,0,10.3,82.6,0.8,0,18
Jimmy Horn Jr.,CAR,WR121,0,0,0,8.2,98.1,0.6,0,17.7
Lucas Krull,DEN,TE68,0,0,0,9.9,90.3,0.6,0,17.6
Tylan Wallace,CLE,WR122,0,1.7,0,6.8,87.5,0.9,0,17.5
George Holani,SEA,RB96,8.8,98,0.6,3,21.9,0,0,17.3
Jaylin Lane,WAS,WR123,2.2,13.5,0.1,6.9,79.6,0.5,0.1,16.7
Casey Washington,ATL,WR124,0,0,0,7.4,89.8,0.7,0,16.6
Teagan Quitoriano,ARI,TE69,0,0,0,6.4,99.5,0.6,0,16.6
Ryan Flournoy,DAL,WR125,0,0,0,7.7,83.6,0.6,0.1,15.5
Devin Culp,TB,TE70,0,0,0,7.2,77.2,0.7,0,15.3
Tanner Conner,NYG,TE71,0,0,0,8.6,69.1,0.7,0,15.1
Brevyn Spann-Ford,DAL,TE72,0,0,0,7.8,74.6,0.6,0,15.1
Moliki Matavao,NO,TE73,0,0,0,7.6,74.5,0.6,0,15
LeQuint Allen Jr.,JAC,RB97,17,60.6,0.7,3.5,25.4,0.1,0,14.8
Alec Ingold,LAC,RB98,9,21.8,0.6,6.1,44.1,0.4,0.4,14.7
Bo Melton,GB,WR126,0,0,0,6.6,78.1,0.6,0,14.6
John Bates,WAS,TE74,0,0,0,7.8,74.3,0.5,0,14.5
KeAndre Lambert-Smith,LAC,WR127,0,3,0,5.9,77.6,0.6,0,14.4
Hunter Long,JAC,TE75,0,0,0,8.4,75.9,0.4,0,14
Devontez Walker,BAL,WR128,0,1.7,0,5.2,71,0.7,0,13.9
Nate Adkins,DEN,TE76,0,0,0,6,46,1,0,13.6
Xavier Gipson,NYG,WR129,0,3.7,0,7.4,81.3,0.4,0.5,13.6
Trey Palmer,NO,WR130,0,2,0,6.6,76.9,0.3,0,13.1
Travis Homer,PIT,RB99,19.5,63.5,0.3,3.3,24.9,0.1,0,12.8
Irvin Charles,NYJ,WR131,0,0,0,6.4,68.3,0.5,0,12.7
Xavier Restrepo,TEN,WR132,0,2,0,4,40,1,0,12.2
Gavin Bartholomew,MIN,TE77,0,0,0,5.5,59.5,0.6,0,12.2
